"강좌명","접수상태","운영기간(시작)","운영기간(종료)","신청기간(시작)","신청기간(종료)","수강료","시간(시작)","시간(종료)","문의전화","첨부파일","운영기관","정원","접수","잔여","위치정보(위도)","위치정보(경도)","주소"
"스포츠클라이밍교실4차(청소년)","교육중","2024-05-11","2024-05-25","2024-04-22 10:00:00","2024-05-03 15:00:00","30000","14:00","16:00","051)610-3225","환불신청서.hwp","금련산청소년수련원","25","35","-10","35.155243202","129.1029083827","부산 수영구 황령산로 156 (광안동, 금련산청소년수련원)"
"부전1동 컴퓨터교실(초급)","교육중","2024-05-09","2024-08-01","2024-04-22 09:00:00","2024-04-25 18:00:00","30000","10:00","12:00","051-605-6517","수강생 모집안내문(정보화수업1기).hwp","부산진구 부전1동 주민자치회","18","0","18","35.1635137466","129.0630013492","부산 부산진구 범전로5번길 13 (부전동, 부전제1동 주민센터)"
"부전1동 컴퓨터 교실(중급)","교육중","2024-05-10","2024-07-26","2024-04-22 09:00:00","2024-04-25 18:00:00","30000","10:00","12:00","051-605-6517","2022.7. 수강생 모집안내문(스마트폰 교실).pdf","부산진구 부전1동 주민자치회","18","0","18","35.1635137466","129.0630013492","부산 부산진구 범전로5번길 13 (부전동, 부전제1동 주민센터)"
"부전1동 스마트폰 교실","교육중","2024-05-08","2024-07-31","2024-04-22 09:00:00","2024-04-25 18:00:00","30000","10:00","12:00","051-605-6517","-","부산진구 부전1동 주민자치회","20","0","20","35.1635137466","129.0630013492","부산 부산진구 범전로5번길 13 (부전동, 부전제1동 주민센터)"
"부전1동 라인댄스(초급)","교육중","2024-05-07","2024-07-30","2024-04-22 09:00:00","2024-04-25 18:00:00","30000","09:30","10:30","051-605-6517","-","부산진구 부전1동 주민자치회","20","0","20","35.1635137466","129.0630013492","부산 부산진구 범전로5번길 13 (부전동, 부전제1동 주민센터)"
"요가맨","교육중","2024-05-01","2024-10-04","2024-04-22 09:00:00","2024-04-29 18:00:00","0","10:00","11:00","051-605-6702","-","부산진구 부암1동 주민자치회","12","0","12","35.160994509595","129.053162224157","부산 부산진구 신천대로204번길 56 (부암동)"
"건강요가","교육중","2024-05-01","2024-10-04","2024-04-22 09:00:00","2024-04-29 18:00:00","0","11:10","12:10","051-605-6702","-","부산진구 부암1동 주민자치회","12","0","12","35.160994509595","129.053162224157","부산 부산진구 신천대로204번길 56 (부암동)"
"실버 스마트폰 교실(부암1동)","접수마감","2024-05-14","2024-06-11","2024-04-22 09:00:00","2024-04-29 18:00:00","0","10:00","12:00","051-605-6702","-","부산진구 부암1동 주민자치회","25","0","25","35.1632866493","129.0485629059","부산 부산진구 신천대로241번길 41 (부암동, 부암1동 주민센터)"
"실버 스마트폰 교실(부암3동)","교육중","2024-05-13","2024-06-10","2024-04-22 09:00:00","2024-04-29 18:00:00","0","10:00","12:00","051-605-6702, 051-605-6722","-","부산진구 부암1동 주민자치회","25","0","25","35.1690160658878","129.039653178323","부산 부산진구 백양순환로110번길 25 (부암동, 부암3동 주민센터)"
"4차(18:00~21:00)사직수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-21 06:00:00","2024-04-25 17:00:00","0","18:00","21:00","051-500-2354, 2355, 2367","오리발 이용안내문.pdf","체육시설관리사업소 종합운동장수영장(사직)","10000","69","9931","35.1927709858009","129.063411773396","부산 동래구 종합운동장로 29 (사직동)"
"3차(13:00~17:00)사직수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-21 06:00:00","2024-04-25 17:00:00","0","13:00","17:00","051-500-2354, 2355, 2367","오리발 이용안내문.pdf","체육시설관리사업소 종합운동장수영장(사직)","10000","32","9968","35.1927709858009","129.063411773396","부산 동래구 종합운동장로 29 (사직동)"
"2차(09:00~12:00)사직수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-21 06:00:00","2024-04-25 17:00:00","0","09:00","12:00","051-500-2354, 2355, 2367","오리발 이용안내문.pdf","체육시설관리사업소 종합운동장수영장(사직)","10000","61","9939","35.1927709858009","129.063411773396","부산 동래구 종합운동장로 29 (사직동)"
"1차(06:00~08:00)사직수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-21 06:00:00","2024-04-25 17:00:00","0","06:00","08:00","051-500-2354, 2355, 2367","오리발 이용안내문.pdf","체육시설관리사업소 종합운동장수영장(사직)","10000","77","9923","35.1927709858009","129.063411773396","부산 동래구 종합운동장로 29 (사직동)"
"1차(06:00~08:30)강서수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-23 18:00:00","0","06:00","08:30","051-970-1253(매표소)","5월자유회원추첨제운영안내.hwp","체육시설관리사업소 강서체육공원 수영장","100","14","86","35.2109591666679","128.972212174842","부산 강서구 체육공원로 43 (대저1동, 강서체육공원)"
"2차(09:00~12:00)강서수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-23 18:00:00","0","09:00","12:00","051-970-1253(매표소)","5월자유회원추첨제운영안내.hwp","체육시설관리사업소 강서체육공원 수영장","100","13","87","35.2109591666679","128.972212174842","부산 강서구 체육공원로 43 (대저1동, 강서체육공원)"
"3차(13:30~16:30)강서수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-23 18:00:00","0","13:30","16:30","051-970-1253(매표소)","5월자유회원추첨제운영안내.hwp","체육시설관리사업소 강서체육공원 수영장","100","5","95","35.2109591666679","128.972212174842","부산 강서구 체육공원로 43 (대저1동, 강서체육공원)"
"4차(17:00~20:00)강서수영장 자유수영 예약","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-23 18:00:00","0","17:00","20:00","051-970-1253(매표소)","5월자유회원추첨제운영안내.hwp","체육시설관리사업소 강서체육공원 수영장","100","14","86","35.2109591666679","128.972212174842","부산 강서구 체육공원로 43 (대저1동, 강서체육공원)"
"사직실내수영장 어린이강습 (2024년 5월)","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-21 21:00:00","0","-","-","051-500-2354~5, 2367(매표실)","오리발 이용안내문.pdf","체육시설관리사업소(사직)","8","8","0","35.1927727893","129.0634117092","부산 동래구 종합운동장로 29 (사직동)"
"사직실내수영장 수영강습 (2024년 5월)","교육중","2024-05-01","2024-05-31","2024-04-20 06:00:00","2024-04-21 21:00:00","0","-","-","051-500-2354~5, 2367(매표실)","오리발 이용안내문.pdf","체육시설관리사업소(사직)","423","417","6","35.1927727893","129.0634117092","부산 동래구 종합운동장로 29 (사직동)"
"올바른 체형~ 노르딕워킹 바르게 걷기(야외 활동)","교육중","2024-05-03","2024-07-05","2024-04-19 09:00:00","2024-05-01 18:00:00","10000","09:30","11:30","051-309-6472","-","북구 만덕3동 주민자치회","15","0","15","35.2113715214","129.0291539767","부산 북구 만덕3로 52 (만덕동, 만덕제3동주민센터)"
"라인댄스(동아리)","교육중","2024-05-01","2024-12-31","2024-04-18 09:00:00","2024-04-26 18:00:00","0","11:00","12:30","051-220-5032","-","사하구 괴정2동 주민자치회","20","0","20","35.103398421837","129.004025566746","부산 사하구 까치고개로 14-1 (괴정동, 괴정2동행정복지센터)"
"서예교실","교육중","2024-05-01","2024-12-31","2024-04-16 09:00:00","2024-04-22 18:00:00","10000","13:00","15:00","051-605-6907","-","부산진구 개금2동 주민자치회","12","0","12","35.1449073615","129.0195326637","부산 부산진구 복지로 93 (개금동, 개금2동 주민센터)"
"도자기교실(마감)","교육중","2024-05-04","2024-06-08","2024-04-16 09:00:00","2024-04-24 10:00:00","18000","10:00","12:00","051-309-6262","-","북구 금곡동 주민자치회","10","0","10","35.2500801336","129.0128491383","부산 북구 금곡대로 466 (금곡동, 금곡동주민센터)"
"토탈공예","교육중","2024-04-25","2024-07-04","2024-04-16 09:00:00","2024-04-30 10:00:00","18000","10:00","12:00","051-309-6262","-","북구 금곡동 주민자치회","10","0","10","35.2500801336","129.0128491383","부산 북구 금곡대로 466 (금곡동, 금곡동주민센터)"
"손뜨개 첫걸음","접수중","2024-05-14","2024-07-30","2024-04-15 09:00:00","2024-05-13 18:00:00","0","10:00","12:00","051-240-6591","-","서구 충무동 주민자치회","10","0","10","35.0942820322754","129.023651621382","부산 서구 충무대로267번길 5 (충무동1가, 충무동골목시장 고객지원센터)"
"[정규] 컴퓨터자격증반(ITQ엑셀)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","10:00","12:00","051-320-8332, 8343","-","여성문화회관","20","10","10","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] DSLR 사진예술","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","11","9","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 기타연주(중고급)","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","25","22","3","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 꽃꽂이(기초+전문가 과정)(야간)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","19","1","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 드로잉Ⅱ","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","18","2","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 색소폰 교실","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","16","4","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 손쉬운 제철건강요리","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","26250","18:30","21:00","051-320-8332, 8343","-","여성문화회관","20","16","4","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 쉽게 익히는 떡&디저트★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","26250","18:30","21:00","051-320-8332, 8343","-","여성문화회관","20","13","7","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 즐거운 가곡교실(야간)","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","30","30","0","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 직장인 베이커리(제과기능사2)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","26250","18:30","21:00","051-320-8332, 8343","-","여성문화회관","20","13","7","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 천아트(야간)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","19","1","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 캘리그라피&POP예쁜글씨(자격증)(야간)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","17","3","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 컴퓨터자격증반(ITQ파워포인트)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","14","6","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 퀼트★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","15","13","2","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 하모니카 교실(야간)","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","20","0","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[야간] 홈패션★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","19:00","21:00","051-320-8332, 8343","-","여성문화회관","20","16","4","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[주말] 여행영어","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","10:00","12:00","051-320-8332, 8343","-","여성문화회관","30","27","3","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[주말] 우리가족 천연비누 만들기","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","10:00","12:00","051-320-8332, 8343","-","여성문화회관","12","11","1","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
